t,x1_t,x2_t,x3_t,y_t,E_t
0.0,0.2,0.3,0.5,0.9692,0.8794799999999999
0.1001001001001001,0.17923092980273883,0.34569238486386755,0.47507668533339364,0.9693896643773895,0.9441628215803325
0.2002002002002002,0.15897285550773177,0.39425737050328913,0.4467697739889791,0.9695831063899282,0.9936749859404885
0.3003003003003003,0.1394982370315047,0.444841615091574,0.4156601478769214,0.969780356365045,1.0243162596445856
0.4004004004004004,0.12107129163481047,0.496437797512509,0.38249091085268055,0.9699813244960904,1.03371309859681
0.5005005005005005,0.10392856690084838,0.5479521211109061,0.3481193119882456,0.9701857966708372,1.0212101597618455
0.6006006006006006,0.08825574740887879,0.5983114781424548,0.3134327744486664,0.970393443426385,0.9879788992818654
0.7007007007007008,0.07417104261374054,0.6465476186651371,0.27928133872112243,0.9706038366504192,0.9367902324473667
0.8008008008008008,0.0617249890793327,0.6918513959486151,0.2464236149720522,0.9708164706647524,0.8715675670925722
0.9009009009009009,0.05090357749628549,0.7336321817853896,0.21546424071832498,0.9710307983633393,0.7967890015681418
1.001001001001001,0.041632792869848154,0.7715249224111587,0.18684228471899322,0.9712462526143876,0.716909972318508
1.1011011011011012,0.033798532096364554,0.8053775267438903,0.16082394115974524,0.971462277023152,0.6359144138808152
1.2012012012012012,0.027259992950240862,0.835216082414307,0.13752392463545215,0.9716783459630277,0.557042480264136
1.3013013013013013,0.021859748491578974,0.8612126800472207,0.11692757146120039,0.9718939749003623,0.48265835915576133
1.4014014014014016,0.017443449018441977,0.8836318132945387,0.09892473768701948,0.9721087378380402,0.4143123216688964
1.5015015015015016,0.013860142719582495,0.902799945450066,0.08333991183035162,0.9723222620022918,0.3528246162962406
1.6016016016016017,0.010973378346454727,0.9190688847689863,0.06995773688455909,0.9725342346822319,0.2984551185906742
1.7017017017017018,0.008661740831056539,0.9327916807197386,0.05854657844920495,0.9727443966569315,0.2510575578304587
1.8018018018018018,0.006819287566781003,0.9443091508967941,0.04887156153642502,0.9729525377666864,0.21020725826387232
1.9019019019019021,0.005357747445636584,0.9539332422031614,0.040709010351202085,0.9731584938596503,0.17533721432967986
2.002002002002002,0.004201602399317425,0.9619491534756365,0.03384924412504619,0.9733621367115122,0.14579266327202117
2.1021021021021022,0.003290344988477442,0.9686053393101824,0.02810431570134021,0.973563373197038,0.12092208107970678
2.2022022022022023,0.002573539405836455,0.9741204902503399,0.023305970343823795,0.9737621358444155,0.10008902773302436
2.3023023023023024,0.0020107403289584816,0.9786820553615697,0.01930720430947195,0.9739583806026684,0.08270833641128467
2.4024024024024024,0.0015699652024408664,0.9824483231310908,0.015981711666468446,0.9741520825348222,0.0682599710843457
2.5025025025025025,0.001224733471382924,0.9855557787434264,0.013219487785190855,0.9743432304708826,0.05627498084156134
2.6026026026026026,0.0009549732092701572,0.9881162938465041,0.01092873294422585,0.9745318268675336,0.04635862925239046
2.702702702702703,0.0007443966662578558,0.9902246155272016,0.009030987806540509,0.9747178830579858,0.03816774384666498
2.802802802802803,0.000579832795813236,0.9919607146346734,0.007459452569513441,0.9749014176174007,0.031406696670584024
